,compound,date,negative,positive,source,text,tweets ago
48,0.6369,Mon Sep 24 20:45:07 +0000 2018,0.0,0.198,@BBC,"️⚽️🏆 @HKane, @hazardeden10 and @MoSalah are on the shortlist for the best men's player, while England's @LucyBronze… https://t.co/3cD3mKTSMk",49
49,-0.34,Mon Sep 24 18:02:07 +0000 2018,0.112,0.0,@BBC,"Keeping the head on is an unwritten rule of the job... 😳️⚽️

A video of Colorado's football mascot accidentally sho… https://t.co/vn9YzZeMLj",50
50,-0.2714,Mon Sep 24 16:32:08 +0000 2018,0.099,0.0,@BBC,"✨🕺💃 @ZoeTheBall is back to give the lowdown on this series of @BBCStrictly!

Strictly - It Takes Two | 6:30pm |… https://t.co/6rLJAtcYYx",51
51,0.0,Mon Sep 24 16:26:11 +0000 2018,0.0,0.0,@BBC,"RT @BBCOne: We're doing this to the letter, fellas. #LineOfDuty is back in t-w-e-n-t-y n-i-n-e-t-e-e-n. @martin_compston @Vicky_McClure htt…",52
52,0.2144,Mon Sep 24 15:53:55 +0000 2018,0.099,0.128,@BBC,RT @BBCOne: How easy is it to get help for mental health when you need it? 14-year-old Jess was refused treatment for anxiety but went on t…,53
53,0.0,Mon Sep 24 15:17:27 +0000 2018,0.0,0.0,@BBC,"RT @bbcdoctorwho: 1,2,3,4…. Thirteen #DoctorWho #Sheffield https://t.co/xaDWu2DmtF",54
54,0.0,Mon Sep 24 15:06:34 +0000 2018,0.0,0.0,@BBC,"Papa… what? 🤔😂 

A new series of Letterbox starts today at 6pm on @BBCTwo. 
https://t.co/NLP3Hx0YSK https://t.co/c8myHijbdz",55
55,0.6361,Mon Sep 24 13:59:07 +0000 2018,0.0,0.295,@BBC,"✈️Is this one of the world's most beautiful airports?

https://t.co/ewqnUMEhZY https://t.co/aFxlQBAET6",56
56,-0.2247,Mon Sep 24 13:01:06 +0000 2018,0.127,0.0,@BBC,"So. Awkward. 🍗😳😂

When @lilyallen had to turn down chicken wings from @Drake... 

https://t.co/4pCjbGbUjY",57
57,0.6597,Mon Sep 24 11:36:41 +0000 2018,0.0,0.213,@BBC,"RT @bbcpress: Who were your #BluePeter presenters growing up? 🎂6⃣0⃣🎂 The @CBBC show will celebrate 60 years next month. Facts, interviews a…",58
58,0.4019,Mon Sep 24 11:08:45 +0000 2018,0.0,0.172,@BBC,"Christina set up ‘Sandwich Angels’ to help feed Manchester’s homeless community. (Via @bbcthree)

https://t.co/Xq0WVgZFFe",59
59,0.0,Mon Sep 24 10:02:07 +0000 2018,0.0,0.0,@BBC,"""Girls have rights and I have rights to an education."" 💛

This young woman choose to teach instead of becoming a te… https://t.co/lFAjrelhXI",60
60,-0.128,Mon Sep 24 09:03:02 +0000 2018,0.111,0.0,@BBC,"😳😂 ""I'm going to leave it there because the lawyers are on the phone""

When @BBCSimonMcCoy sat down for a serious i… https://t.co/HAuyMtgM2c",61
61,0.7184,Mon Sep 24 08:49:40 +0000 2018,0.0,0.231,@BBC,"RT @BBCSportWales: Are you brave enough to dive off a cliff? 

This teenager is - and he's about to make history 😲 https://t.co/8fOgNK7URM",62
62,0.0,Mon Sep 24 08:02:05 +0000 2018,0.0,0.0,@BBC,Mosquitoes are transferring plastics into the food chain. 👉 https://t.co/tjdOPX0zrn https://t.co/O4VxfryLpA,63
63,0.0,Mon Sep 24 07:31:07 +0000 2018,0.0,0.0,@BBC,There are plans for scientists in Russia to attempt to bring woolly mammoths back from extinction. 🔬… https://t.co/31HyafKzgN,64
64,0.0,Mon Sep 24 07:02:04 +0000 2018,0.0,0.0,@BBC,This is the most hardcore baptism you’ll ever see - a mum carrying her baby to a church up a near-vertical cliff fa… https://t.co/RXxvIRWdyS,65
65,0.128,Sun Sep 23 22:04:30 +0000 2018,0.103,0.124,@BBC,"RT @BBCOne: 157 crew.
88 shoot days.
56 cast.
23 stunt performers.
6 episodes.
2 directors.
1 writer.
1 epic finale. 

Thanks for watching…",66
66,-0.7398,Sun Sep 23 20:32:23 +0000 2018,0.288,0.0,@BBC,"RT @BBCOne: Just David Budd, having the epitome of a VERY BAD DAY. #Bodyguard https://t.co/uuz9xTSusb",67
